gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Enterocytes	WNT2B+ Fos-hi	CD4+ Memory	Plasma	Macrophages
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.079	0.042	0.001	0.005	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.079	0.042	0.001	0.005	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.079	0.042	0.001	0.005	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.079	0.042	0.001	0.005	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.079	0.042	0.001	0.005	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.079	0.042	0.001	0.005	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.079	0.011	0.001	0.003	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.079	0.011	0.001	0.003	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.079	0.011	0.001	0.003	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.079	0.011	0.001	0.003	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.079	0.011	0.001	0.003	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.079	0.011	0.001	0.003	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.033	0.011	0.001	0.003	0.005
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.033	0.011	0.001	0.003	0.005
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.033	0.011	0.001	0.003	0.005
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.033	0.011	0.001	0.003	0.005
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.033	0.011	0.001	0.003	0.005
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.033	0.011	0.001	0.003	0.005
CD8A	P01732	True	CD8A_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.002	0.0	0.05	0.005	0.0
CD8B	P10966	True	CD8B_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.002	0.0	0.05	0.005	0.0
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.0	0.0	0.005	0.0	0.0
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2C	CPI-CS05AB368CE	0.0	0.0	0.004	0.0	0.0
KLRC1	P26715	True	NKG2A_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.0	0.0	0.005	0.0	0.0
KLRC2	P26717	True	NKG2C_HUMAN	CD94:NKG2C	CPI-CS05AB368CE	0.0	0.0	0.004	0.0	0.0
CNTFR	P26992	True	CNTFR_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.002	0.0	0.0	0.0	0.0
LIFR	P42702	True	LIFR_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.002	0.0	0.0	0.0	0.0
LIFR	P42702	True	LIFR_HUMAN	LIFR	CPI-CS0E661878B	0.004	0.126	0.001	0.001	0.002
LIFR	P42702	True	LIFR_HUMAN	LIFR	CPI-CS07B61574B	0.004	0.126	0.001	0.001	0.002
IL6ST	P40189	True	IL6RB_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.002	0.0	0.0	0.0	0.0
IL6ST	P40189	True	IL6RB_HUMAN	IL6 receptor	CPI-CS063AE1C91	0.164	0.011	0.045	0.028	0.019
IL6ST	P40189	True	IL6RB_HUMAN	LIFR	CPI-CS0E661878B	0.004	0.126	0.001	0.001	0.002
IL6ST	P40189	True	IL6RB_HUMAN	LIFR	CPI-CS07B61574B	0.004	0.126	0.001	0.001	0.002
IL6ST	P40189	True	IL6RB_HUMAN	OSMR	CPI-CS06D50EBF8	0.015	0.126	0.0	0.002	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS067298D94	0.0	0.0	0.0	0.001	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.0	0.0	0.0	0.001	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS077F1340A	0.0	0.0	0.0	0.001	0.0
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS067298D94	0.0	0.0	0.0	0.001	0.0
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.0	0.0	0.0	0.001	0.0
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS077F1340A	0.0	0.0	0.0	0.001	0.0
KDR	P35968	True	VGFR2_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.0	0.0	0.0	0.001	0.0
CSF2RB	P32927	True	IL3RB_HUMAN	GMCSFR	CPI-CS0210859AB	0.009	0.0	0.0	0.002	0.075
CSF2RA	P15509	True	CSF2R_HUMAN	GMCSFR	CPI-CS0210859AB	0.009	0.0	0.0	0.002	0.075
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.017	0.011	0.002	0.001	0.007
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.017	0.011	0.002	0.001	0.007
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.017	0.011	0.002	0.001	0.007
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.017	0.011	0.002	0.001	0.007
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.017	0.0	0.004	0.001	0.023
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.017	0.0	0.004	0.001	0.023
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL33 receptor	CPI-CS0C59AF029	0.0	0.0	0.0	0.001	0.002
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.017	0.0	0.004	0.001	0.023
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.017	0.0	0.004	0.001	0.023
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.009	0.011	0.057	0.119	0.133
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.009	0.011	0.057	0.119	0.133
IL10RB	Q08334	True	I10R2_HUMAN	IL22 receptor	CPI-CS0A8A0A053	0.402	0.0	0.0	0.001	0.0
IL10RB	Q08334	True	I10R2_HUMAN	IL26 receptor	CPI-CS0317FAF76	0.05	0.0	0.0	0.001	0.0
IL13RA1	P78552	True	I13R1_HUMAN	IL13 receptor	CPI-CS00BF6CD40	0.552	0.105	0.005	0.014	0.058
IL4R	P24394	True	IL4RA_HUMAN	IL13 receptor	CPI-CS00BF6CD40	0.552	0.105	0.005	0.014	0.058
IL4R	P24394	True	IL4RA_HUMAN	IL4 receptor	CPI-CS0FBBCDD66	0.552	0.0	0.038	0.014	0.058
IL2RB	P14784	True	IL2RB_HUMAN	IL15 receptor	CPI-CS06E556972	0.004	0.0	0.062	0.004	0.0
IL2RB	P14784	True	IL2RB_HUMAN	IL2 receptor_HA	CPI-CS0D48BE017	0.0	0.0	0.017	0.001	0.0
IL2RB	P14784	True	IL2RB_HUMAN	IL2 receptor_I	CPI-CS0A34112A6	0.004	0.0	0.062	0.004	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL15 receptor	CPI-CS06E556972	0.004	0.0	0.062	0.004	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL2 receptor_HA	CPI-CS0D48BE017	0.0	0.0	0.017	0.001	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL2 receptor_I	CPI-CS0A34112A6	0.004	0.0	0.062	0.004	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL4 receptor	CPI-CS0FBBCDD66	0.552	0.0	0.038	0.014	0.058
IL2RG	P31785	True	IL2RG_HUMAN	IL7 receptor	CPI-CS0AB9C7139	0.013	0.0	0.26	0.01	0.126
IL17A	Q16552	True	IL17_HUMAN	IL17 AF	CPI-CC0B39F327D	0.0	0.0	0.003	0.001	0.0
IL17F	Q96PD4	True	IL17F_HUMAN	IL17 AF	CPI-CC0B39F327D	0.0	0.0	0.003	0.001	0.0
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AC	CPI-CS04F158618	0.144	0.011	0.001	0.01	0.019
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AC	CPI-CS0558AB6A5	0.144	0.011	0.001	0.01	0.019
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.144	0.011	0.003	0.003	0.002
IL17RC	Q8NAC3	True	I17RC_HUMAN	IL17 receptor AC	CPI-CS04F158618	0.144	0.011	0.001	0.01	0.019
IL17RC	Q8NAC3	True	I17RC_HUMAN	IL17 receptor AC	CPI-CS0558AB6A5	0.144	0.011	0.001	0.01	0.019
IL17RE	Q8NFR9	True	I17RE_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.144	0.011	0.003	0.003	0.002
IL18	Q14116	True	IL18_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.002	0.0	0.0
IL18R1	Q13478	True	IL18R_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.002	0.0	0.0
IL18RAP	O95256	True	I18RA_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.002	0.0	0.0
IL2RA	P01589	True	IL2RA_HUMAN	IL2 receptor_HA	CPI-CS0D48BE017	0.0	0.0	0.017	0.001	0.0
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL20 receptor Type I	CPI-CS0645666B0	0.002	0.0	0.0	0.001	0.0
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL26 receptor	CPI-CS0317FAF76	0.05	0.0	0.0	0.001	0.0
IL20RB	Q6UXL0	True	I20RB_HUMAN	IL20 receptor Type I	CPI-CS0645666B0	0.002	0.0	0.0	0.001	0.0
IL22RA1	Q8N6P7	True	I22R1_HUMAN	IL22 receptor	CPI-CS0A8A0A053	0.402	0.0	0.0	0.001	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL27	CPI-CC09BCDA08E	0.0	0.0	0.0	0.0	0.009
EBI3	Q14213	True	IL27B_HUMAN	IL35	CPI-CC0C3ECBD1F	0.0	0.0	0.0	0.009	0.0
IL27	Q8NEV9	True	IL27A_HUMAN	IL27	CPI-CC09BCDA08E	0.0	0.0	0.0	0.0	0.009
IL1RL1	Q01638	True	ILRL1_HUMAN	IL33 receptor	CPI-CS0C59AF029	0.0	0.0	0.0	0.001	0.002
IL12A	P29459	True	IL12A_HUMAN	IL35	CPI-CC0C3ECBD1F	0.0	0.0	0.0	0.009	0.0
IL6R	P08887	True	IL6RA_HUMAN	IL6 receptor	CPI-CS063AE1C91	0.164	0.011	0.045	0.028	0.019
IL7R	P16871	True	IL7RA_HUMAN	IL7 receptor	CPI-CS0AB9C7139	0.013	0.0	0.26	0.01	0.126
OSMR	Q99650	True	OSMR_HUMAN	OSMR	CPI-CS06D50EBF8	0.015	0.126	0.0	0.002	0.0
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.0	0.221	0.0	0.002	0.0
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.0	0.221	0.0	0.002	0.0
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.0	0.0	0.0	0.001	0.0
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.0	0.0	0.0	0.0	0.033
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.0	0.032	0.0	0.002	0.033
TREM2	Q9NZC2	True	TREM2_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.0	0.0	0.0	0.0	0.033
TYROBP	O43914	True	TYOBP_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.0	0.0	0.0	0.0	0.033
NRP1	O14786	True	NRP1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.0	0.032	0.0	0.002	0.033
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.0	0.0	0.0	0.002	0.002
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.0	0.011	0.0	0.002	0.009
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.0	0.0	0.0	0.002	0.002
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.0	0.011	0.0	0.002	0.009
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	1.989	0.263	0.118	0.768	19.14
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.09	0.032	0.002	0.0	0.009
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	1.989	0.263	0.118	0.768	19.14
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.002	0.0	0.002	0.003	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.09	0.032	0.002	0.0	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.09	0.032	0.002	0.0	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.09	0.032	0.002	0.0	0.009
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.0	0.042	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.026	0.095	0.004	0.904	0.009
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.002	0.0	0.012	0.004	0.007
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.0	0.042	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.0	0.042	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC07ECBFCA7	0.009	5.105	0.001	0.022	0.009
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC0DA298BEC	0.031	0.0	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC067433F6B	0.0	10.358	0.001	0.032	0.012
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0B6F1A278	0.0	0.295	0.0	0.005	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC0D19BAF15	0.1	1.053	0.0	0.009	0.002
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0F516B854	0.031	0.411	0.0	0.004	0.0
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC011F01833	0.0	7.463	0.001	0.056	0.009
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0FA79E269	0.061	0.611	0.001	0.007	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC02B111AB0	0.004	2.295	0.0	0.021	0.037
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0CE851065	0.0	4.579	0.004	0.019	0.035
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC07375C073	0.009	1.032	0.002	0.005	0.0
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0D6C777F2	0.004	0.011	0.0	0.006	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC041DEF0FB	0.0	0.705	0.0	0.004	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0C907A888	0.0	0.011	0.0	0.0	0.0
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC08B1D5269	0.013	0.021	0.004	0.001	0.0
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0F8101D41	0.0	0.0	0.0	0.0	0.0
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC087556B01	0.0	0.0	0.0	0.001	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC08E75294D	0.0	0.137	0.0	0.004	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0017F527E	0.0	0.326	0.025	0.013	0.016
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC00C0800EB	0.0	0.0	0.001	0.02	0.0
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0A3F146C2	0.0	0.0	0.0	0.008	0.0
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC008F4294F	0.0	0.042	0.0	0.002	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC015980AEB	0.0	0.505	0.0	0.001	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0F94B2CF9	0.076	0.137	0.001	0.001	0.0
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC05565E8CE	0.0	0.0	0.0	0.0	0.002
COL9A3	Q14050	False	CO9A3_HUMAN		CPI-SC0517A327B	0.004	0.0	0.0	0.118	0.012
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC067EE23E1	0.068	0.0	0.004	0.018	0.007
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC09DFB2ACA	0.0	0.0	0.0	0.002	0.0
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC090311934	0.0	0.0	0.0	0.015	0.0
COL28A1	Q2UY09	False	COSA1_HUMAN		CPI-SC05D8C0EF5	0.013	0.0	0.0	0.0	0.0
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0725E3A76	0.002	0.242	0.001	0.0	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0C9CBDD21	0.004	0.074	0.0	0.002	0.0
COL22A1	Q8NFW1	False	COMA1_HUMAN		CPI-SC0BA1D5E00	0.009	0.0	0.0	0.0	0.0
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC02131C05A	0.0	0.126	0.0	0.001	0.002
COL17A1	Q9UMD9	False	COHA1_HUMAN		CPI-SC06B4C6DD5	1.697	0.0	0.0	0.005	0.0
